french;english;level;frequency;type
Carefully;Avec soin;B2;8;Manner
Certainly;Certainement;B1;9;Degree
Clearly;Clairment;B1;9;Manner
Closely;Etroitement;B2;6;Manner
Comfortably;Confortablement;B2;5;Manner
Commonly;Communément;C1;4;Frequency
Continuously;Continuellement;B2;6;Duration
Correctly;Correctement;B1;8;Manner
Courageously;Courageusement;C1;3;Manner
Crazily;Follement;B2;4;Manner
Crossly;Méchamment;B1;3;Manner
Crudely;Crûment;C1;2;Manner
Cunningly;Astucieusement;B2;4;Manner
Curiously;Curieusement;A2;6;Manner
Cutely;Mignonnement;B1;5;Manner
