french;english;level;frequency;type;info
to bake;cuire au four;A2;7;ACTION;REGULAR
to bathe;se baigner;A2;6;ACTION;REGULAR
to behave;se comporter;B1;7;STATE;REGULAR
to believe;croire;A2;9;STATE;REGULAR
to bend;plier;A2;8;ACTION;REGULAR
to bet;parier;B2;5;ACTION;REGULAR
to bid;offrir;B2;5;ACTION;IRREGULAR
to bind;lier;B2;5;ACTION;REGULAR
to bite;mordre;A2;8;ACTION;IRREGULAR
to blame;blâmer;B2;6;STATE;REGULAR
to blow;souffler;A2;5;ACTION;REGULAR
to boast;se vanter;B2;4;ACTION;REGULAR
to borrow;emprunter;A2;6;ACTION;REGULAR
to bounce;rebondir;B2;3;ACTION;REGULAR
