english;french;level;frequency
Calm;Calme;B2;6
Careful;Prudent-Soigneux;B2;7
Caring;Attentionné;B2;5
Charming;Charmant;B2;6
Chatty;Bavard;B2;4
Cheerful;Joyeux;B2;6
Childish;Enfantin;B2;4
Chilly;Froid;B2;5
Chosen;Choisi;B2;4
Chubby;Potelé;B2;3
Chunky;Massif;B1;4
Civilized;Civilisé;B2;5
Classic;Classique;B1;6
Classy;Chic;B2;4
Clean;Propre;A2;9
Clever;Intelligent;B1;7
Clingy;Collant;C1;2
Cloudless;Sans nuage;C1;3
Cloudy;Nuageux;A2;7
Clueless;Ignorant;B2;4
Clumsy;Maladroit;B1;5
Cocky;Arrogant;B2;4
Coherent;Cohérent;B2;6
Cold;Froid;A1;9
Colorful;Coloré;B1;5
Colossal;Colossal;C1;3
Comfortable;Confortable;A2;8
Confident;Confiant;B1;6
Confused;Confus;B1;6
Cooperative;Coopératif;B2;4
Courageous;Courageux/Courageuse;B2;5
Crafty;Astucieux/Astucieuse;B2;4
Cranky;Grognon;B2;2
Crazy;Fou/Folle;B1;6
Creative;Créatif/Créative;B1;7
Crispy;Croustillant;B2;3
Critical;Critique;B2;6
Crooked;Tordu;B2;3
Cruel;Cruel/Cruelle;B2;5
Cuddly;Doux/Douce;A2;4
Cultured;Cultivé;B2;5
Cunning;Astucieux;C1;3
Curious;Curieux;B1;7
Curly;Bouclé;A2;4
Current;Actuel;B2;8
Cursed;Maudit;C1;2
Cute;Mignon;A2;9
Cynical;Cynique;C1;6
