english;french;level;frequency;type
a jacket;une veste;A2;8
a jaguar;un jaguar;B2;4
a jail;une prison;B2;5
a jam;de la confiture;A2;6
a janitor;un concierge;B2;3
a jar;un pot;A2;7
a jasmine;un jasmin;C1;2
a jaw;une mâchoire;C1;3
a jazz;un jazz;B2;6
a jeep;un jeep;B2;5
a jellyfish;une méduse;B2;3
a jet;un jet;B2;4
a jewel;un bijou;B1;5
a jigsaw;un puzzle;B2;2
a job;un travail;A2;10
a jog;un footing;B1;4
a joint;une articulation;B2;5
a joke;une blague;A2;8
a journalist;un journaliste;B2;6
a journey;un voyage;A2;9
a joy;une joie;B2;5
a judge;un juge;B2;6
a juice;un jus;A2;5
a jumper;un pull;A2;3
a jungle;une jungle;B2;4
a junior;un(e) junior;B1;4
a junk;un déchet;C1;2
a jury;un jury;B2;5
a justice;une justice;B2;6
a justification;une justification;C1;4
